,Title,Publish Date,Place of Accident,Dead,Cause Of Accident,Village Of Accident,Time,Road,Travel To,Travel From,Cars Involved,Cars ,Registration,Day Of Accident,Type Of Accident,Day_Night
253,"Four dead, eight injured in Mbale-Soroti road crash",2023-05-27,Bukedea,4.0,speeding,,18.0,Mbale-Soroti Highway.,"17,443 in 2021 to",,Toyota Hiace,Commuter taxi,,Thursday,overturned,Day
254,Two killed in Acacia road junction crash,2023-05-26,Kampala,2.0,speeding,,1.0,Acacia-Kayunga road,,,Toyota Mark,Private cars,,Friday,crahed motorcycle,Night
255,"YY Bus driver, 2 others killed in Mbale-Tirinyi road crash",2023-05-18,Kibuku,2.0,reckless drivers and those without valid driving permits especially,,23.0,Mbale-Tirinyi Highway,to Mbale,from Kampala,bus,Bus,,,overturned,Night
256,Kyankwanzi LCV boss survives Hoima –Kampala road crash,2023-05-17,Kyankwanzi,1.0,,Nakasero hospital,20.0,Hoima-Kampala ,,,truck had,Truck,UAL,Tuesday,rammed into stationary  truck,Night
257,Col Engola’s in-laws perish in road crash,2023-05-15,Oyam,2.0,,Ayago,6.0,,to Arua Regional Referral Hospital,from Oluko Ward,truck,Truck,,Saturday,,Night
258,"One dead, seven injured in Sheema accident",2023-05-10,Sheema,1.0,,Kooga,7.0,Mbarara-Kasese highway,towards Kasese,from Rukungiri District.,taxi,Commuter taxi,,Tuesday,overturned,Day
259,Three injured in Link bus accident,2023-05-05,Kassanda,1.0,bus driver tried,Katosi village,9.0,Fort Portal- Kampala highway,to Kampala,from Kagadi,bus they,Bus,,Friday,overturned,Day
260,"Two killed, three injured in Mityana road crash",2023-05-02,Mityana municipality,2.0,,,0.0,Mityana-Mubende ,to,from Naama,Peugeot car,Private cars,,Tuesday,head on collision,Night
261,"Accident involving four vehicles leaves six injured, trailer carrying beer overturns",2023-05-22,Nakasongola has,,,Namayonjo village,17.0,Kampala-Gulu ,towards Kampala,facing Kampala,Scania trailer,Truck,UAY,Saturday,head on collision,Day
262,ACCIDENT: 42 students injured in Soroti,2023-04-27,four different,,lost control,Gweri Trading Centre,17.0,Katakwi-Soroti road,,,Fuso lorry,Truck,UBE,Wednesday,overturned,Day
263,"Soldier, child dead in army vehicle accident in Kasese",2023-04-17,Kasese,2.0,speeding,,6.0,,,,Monday Afternoon,Government,URN,,knocked pedestrian,Night
264,Police officer knocked dead in Maracha,2023-04-10,Maracha,1.0,reckless driving,Nyoro trading centre,20.0,Arua-Koboko road,,from Maracha Town,,,URN,Sunday,knocked pedestrian,Night
265,IUIU student killed in Kabalagala accident,2023-04-26,Kampala,1.0,,,19.0,Kabalagala-Ggaba Road,,,Canter Cartapillar motor vehicle,Truck,,Wednesday,crahed motorcycle,Night
266,"One killed, 10 injured in Kampala-Mityana road crash",2023-04-24,Mityana ,1.0,high speed,,20.0,Kampala –Mityana highway,to Kampala.,from Fort Portal,commuter taxi,Commuter taxi,UBH,Monday,overturned,Night
267,Tragedy as three pupils are killed in Mbale road crash,2023-04-12,Mbale,3.0,overtake another vehicle,Nabuyonga,9.0,Mbale-Tororo highway,to Soroti.,from Tororo,Sino truck,Truck,,Wednesday,knocked pedestrian,Day
268,Eight traders injured on bumpy Nebbi–Jukia Hill road,2023-04-11,Zombo,,brake failure.,Pakwach,21.0,Nebbi - Jukia road,to Nebbi town,,,,,,overturned,Night
269,Nine dead as minivan collides with fuel tanker on Masaka-Mbarara road,2023-04-07,Lwengo,9.0,reckless driving.,Kyoko Village,16.0,Masaka-Mbarara ,headed towards Mbarara City,from Kampala,neglected,Commuter taxi,UBL,Friday,head on collision,Day
270,Four students killed after Sinotruk plows into school in central Uganda,2023-03-16,Gomba ,4.0,truck driver lost,Kasaka Senior Secondary School,17.0,,,,,,,Tuesday,rammed into house,Day
